turn,bet
40,50
41,50
42,50
43,50
44,50
45,50
46,50
47,50
48,50
49,50
50,50
51,50
52,50
53,50
54,50
55,100
56,100
57,100
58,100
59,100
60,100
61,100
62,100
63,100
64,100
65,100
66,100
67,150
68,150
69,150
70,150
71,150
72,150
73,150
74,150
75,200
76,200
77,200
78,200
79,200
80,200
81,250
82,250
83,250
84,250
85,250
86,300
87,300
88,300
89,300
90,350
91,350
92,350
93,350
94,400
95,400
96,400
97,450
98,450
99,450
100,500
101,500
102,550
103,550
104,600
105,600
106,650
107,650
108,700
109,700
110,750
111,750
112,800
113,850
114,850
115,900
116,950
117,1000
118,1050
119,1050
120,1100
121,1150
122,1200
123,1250
124,1300
125,1350
126,1400
127,1500
128,1550
129,1600
130,1650
131,1750
132,1800
133,1900
134,1950
135,2050
136,2150
137,2250
138,2300
139,2400
140,2500
141,2600
142,2750
143,2850
144,2950
145,3100
146,3200
147,3350
148,3500
149,3650
150,3800
151,3950
152,4100
153,4300
154,4500
155,4650
156,4850
157,5050
158,5250
159,5500
160,5700
161,5950
162,6200
163,6450
164,6700
165,7000
166,7300
167,7600
168,7900
169,8250
170,8600
171,8950
172,9300
173,9700
174,10100
175,10500
176,10950
177,11400
178,11900
179,12400
180,12900
181,13450
182,14000
183,14600
184,15200
185,15800
186,16500
187,17150
188,17900
189,18650
190,19400
191,20200
192,21050
193,21950
194,22850
195,23800
196,24800
197,25850
198,26900
199,28000
200,29200
201,30400
202,31650
203,33000
204,34350
205,35800
206,37300
207,38850
208,40450
