turn,bet
40,400
41,400
42,450
43,450
44,500
45,550
46,600
47,600
48,650
49,700
50,750
51,800
52,850
53,950
54,1000
55,1050
56,1150
57,1250
58,1300
59,1400
60,1500
61,1600
62,1750
63,1850
64,2000
65,2150
66,2300
67,2450
68,2600
69,2800
70,3000
71,3200
72,3450
73,3700
74,3950
75,4250
76,4550
77,4850
78,5200
79,5600
80,6000
81,6400
82,6900
83,7400
84,7900
85,8450
86,9050
87,9700
88,10400
89,11150
90,11950
91,12800
92,13750
93,14700
94,15750
95,16850
96,18050
97,19350
98,20750
99,22250
100,23800
101,25500
102,27350
103,29300
104,31400
105,33650
106,36050
107,38600
108,41350
109,44300
110,47500
111,50900
